N: 20; d: 20
Test 15: 0.83262 	 r2: 0.26519
Train 1: 0.60992 	 r2: -0.12815
Valid 1: 0.75575 	 r2: 0.12014
Train 2: 0.78556 	 r2: 0.19446
Valid 2: 0.76310 	 r2: 0.16695
Train 3: 0.80016 	 r2: 0.22119
Valid 3: 0.78095 	 r2: 0.18847
Train 4: 0.81909 	 r2: 0.24930
Valid 4: 0.80216 	 r2: 0.21344
Train 5: 0.83258 	 r2: 0.27028
Valid 5: 0.81692 	 r2: 0.23959
Train 6: 0.84277 	 r2: 0.28919
Valid 6: 0.82074 	 r2: 0.25380
Train 7: 0.85031 	 r2: 0.30541
Valid 7: 0.82087 	 r2: 0.25159
Train 8: 0.85524 	 r2: 0.31649
Valid 8: 0.82085 	 r2: 0.24792
Train 9: 0.85918 	 r2: 0.32560
Valid 9: 0.82086 	 r2: 0.24520
Train 10: 0.86200 	 r2: 0.33226
Valid 10: 0.82009 	 r2: 0.24262
Train 11: 0.86424 	 r2: 0.33759
Valid 11: 0.81907 	 r2: 0.23886
Train 12: 0.86576 	 r2: 0.34112
Valid 12: 0.81634 	 r2: 0.22557
Finish: (0.8208741730107849, 0.25158991790268326)
Test 13: 0.83366 	 r2: 0.26685
Train 1: 0.65166 	 r2: -0.03829
Valid 1: 0.75836 	 r2: 0.15439
Train 2: 0.78548 	 r2: 0.19589
Valid 2: 0.76816 	 r2: 0.17368
Train 3: 0.80790 	 r2: 0.23179
Valid 3: 0.78849 	 r2: 0.19120
Train 4: 0.82540 	 r2: 0.25924
Valid 4: 0.81302 	 r2: 0.23603
Train 5: 0.83906 	 r2: 0.28212
Valid 5: 0.82034 	 r2: 0.24884
Train 6: 0.84690 	 r2: 0.29763
Valid 6: 0.82049 	 r2: 0.24662
Train 7: 0.85202 	 r2: 0.30889
Valid 7: 0.82034 	 r2: 0.24613
Train 8: 0.85460 	 r2: 0.31493
Valid 8: 0.81859 	 r2: 0.24302
Train 9: 0.85595 	 r2: 0.31801
Valid 9: 0.81708 	 r2: 0.23981
Train 10: 0.86165 	 r2: 0.33151
Valid 10: 0.81747 	 r2: 0.24035
Train 11: 0.86522 	 r2: 0.33991
Valid 11: 0.81633 	 r2: 0.23563
Finish: (0.8204936177351103, 0.2466222644209205)
Test 12: 0.83082 	 r2: 0.25831
Train 1: 0.71759 	 r2: 0.10838
Valid 1: 0.75971 	 r2: 0.14836
Train 2: 0.78685 	 r2: 0.19907
Valid 2: 0.77547 	 r2: 0.16591
Train 3: 0.81323 	 r2: 0.23870
Valid 3: 0.80465 	 r2: 0.21983
Train 4: 0.83256 	 r2: 0.26888
Valid 4: 0.81451 	 r2: 0.23982
Train 5: 0.83969 	 r2: 0.28155
Valid 5: 0.81677 	 r2: 0.24192
Train 6: 0.84368 	 r2: 0.28910
Valid 6: 0.81951 	 r2: 0.24763
Train 7: 0.84867 	 r2: 0.29942
Valid 7: 0.82044 	 r2: 0.25000
Train 8: 0.85279 	 r2: 0.30855
Valid 8: 0.82079 	 r2: 0.25056
Train 9: 0.85523 	 r2: 0.31446
Valid 9: 0.82008 	 r2: 0.24877
Train 10: 0.85593 	 r2: 0.31581
Valid 10: 0.81763 	 r2: 0.24788
Train 11: 0.85539 	 r2: 0.31481
Valid 11: 0.81814 	 r2: 0.24680
Train 12: 0.85723 	 r2: 0.31887
Valid 12: 0.81743 	 r2: 0.23120
Train 13: 0.86092 	 r2: 0.32710
Valid 13: 0.81951 	 r2: 0.24737
Finish: (0.8207883250574437, 0.25056049559717675)
Test 14: 0.83285 	 r2: 0.26535
Train 1: 0.71721 	 r2: 0.10257
