N: 1; d: 20
Valid 5: 0.79320 	 r2: 0.21043
Train 6: 0.83175 	 r2: 0.26956
Valid 6: 0.80162 	 r2: 0.22226
Train 7: 0.84157 	 r2: 0.28770
Valid 7: 0.80588 	 r2: 0.22550
Train 8: 0.84847 	 r2: 0.30164
Valid 8: 0.80689 	 r2: 0.22605
Train 9: 0.85287 	 r2: 0.31117
Valid 9: 0.80897 	 r2: 0.23250
Train 10: 0.85813 	 r2: 0.32290
Valid 10: 0.80821 	 r2: 0.23040
Train 11: 0.86480 	 r2: 0.33796
Valid 11: 0.81009 	 r2: 0.23113
Train 12: 0.87012 	 r2: 0.35070
Valid 12: 0.80956 	 r2: 0.22787
Train 13: 0.87337 	 r2: 0.35876
Valid 13: 0.80888 	 r2: 0.22577
Train 14: 0.87590 	 r2: 0.36568
Valid 14: 0.80503 	 r2: 0.21451
Train 15: 0.87635 	 r2: 0.36608
Valid 15: 0.80768 	 r2: 0.22265
Train 16: 0.88240 	 r2: 0.38143
Valid 16: 0.80730 	 r2: 0.22075
Finish: (0.8100912897883465, 0.23112753458834112)
Test 17: 0.82618 	 r2: 0.25383
Train 1: 0.70952 	 r2: 0.06826
Valid 1: 0.75576 	 r2: 0.15669
Train 2: 0.78240 	 r2: 0.19114
